Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed May 22 04:31:47 2024


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       reg1_map.ncd
OUTPUT FILE:      reg1_pad.txt
PART TYPE:        xc7vx330t
SPEED GRADE:      -2
PACKAGE:          ffg1157

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name                    |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AG33      |               |IOB18M   |IO_L6P_T0_15                |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AG34      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AH1       |               |OPAD     |MGTHTXN0_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH2       |               |OPAD     |MGTHTXP0_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH3       |               |         |MGTAVTT_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AH4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AH5       |               |IPAD     |MGTREFCLK0N_114             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH6       |               |IPAD     |MGTREFCLK0P_114             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AH8       |               |IOB18S   |IO_L8N_T1_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH9       |               |IOB18M   |IO_L12P_T1_MRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH10      |               |IOB18M   |IO_L11P_T1_SRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH11      |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AH12      |               |IOB18S   |IO_L9N_T1_DQS_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH13      |               |IOB18    |IO_25_VRP_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH14      |               |IOB18M   |IO_L18P_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH15      |               |IOB18M   |IO_L12P_T1_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH16      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AH17      |               |IOB18S   |IO_L13N_T2_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH18      |               |IOB18S   |IO_L17N_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH19      |               |IOB18M   |IO_L17P_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AH20      |               |IOB18S   |IO_L18N_T2_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AH21      |               |         |VCCO_36                     |         |           |36            |          |         |           |         |1.80     |          |           |                |
|AH22      |               |IOB18S   |IO_L13N_T2_MRCC_36          |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AH23      |               |IOB18M   |IO_L17P_T2_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AH24      |               |IOB18M   |IO_L17P_T2_A14_D30_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AH25      |               |IOB18S   |IO_L16N_T2_A15_D31_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AH26      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AH27      |               |IOB18M   |IO_L18P_T2_A24_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH28      |               |IOB18S   |IO_L18N_T2_A23_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH29      |               |IOB18S   |IO_L17N_T2_A25_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH30      |               |IOB18S   |IO_L9N_T1_DQS_AD3N_15       |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH31      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AH32      |               |IOB18S   |IO_L3N_T0_DQS_AD1N_15       |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH33      |               |IOB18S   |IO_L6N_T0_VREF_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AH34      |               |IOB18M   |IO_L4P_T0_15                |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AJ1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ2       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ3       |               |IPAD     |MGTHRXN3_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AJ4       |               |IPAD     |MGTHRXP3_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AJ5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AJ7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ8       |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AJ9       |               |IOB18S   |IO_L12N_T1_MRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AJ10      |               |IOB18S   |IO_L11N_T1_SRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AJ11      |               |IOB18M   |IO_L13P_T2_MRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AJ12      |               |IOB18M   |IO_L14P_T2_SRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AJ13      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ14      |               |IOB18S   |IO_L18N_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AJ15      |               |IOB18S   |IO_L12N_T1_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AJ16      |               |IOB18M   |IO_L11P_T1_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AJ17      |               |IOB18M   |IO_L10P_T1_AD15P_35         |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AJ18      |               |         |VCCO_35                     |         |           |35            |          |         |           |         |any******|          |           |                |
|AJ19      |               |IOB18M   |IO_L16P_T2_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AJ20      |               |IOB18S   |IO_L16N_T2_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AJ21      |               |IOB18M   |IO_L14P_T2_SRCC_36          |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AJ22      |data_out_2<71> |IOB      |IO_L12P_T1_MRCC_36          |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AJ23      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ24      |               |IOB18S   |IO_L17N_T2_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AJ25      |               |IOB18S   |IO_L17N_T2_A13_D29_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AJ26      |               |IOB18M   |IO_L15P_T2_DQS_RDWR_B_14    |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AJ27      |               |IOB18S   |IO_L15N_T2_DQS_DOUT_CSO_B_14|UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AJ28      |               |         |VCCO_14                     |         |           |14            |          |         |           |         |any******|          |           |                |
|AJ29      |               |IOB18M   |IO_L10P_T1_D14_14           |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AJ30      |               |IOB18M   |IO_L8P_T1_D11_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AJ31      |               |IOB18M   |IO_L5P_T0_AD9P_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AJ32      |               |IOB18S   |IO_L5N_T0_AD9N_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AJ33      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AJ34      |               |IOB18S   |IO_L4N_T0_15                |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AK1       |               |OPAD     |MGTHTXN3_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AK2       |               |OPAD     |MGTHTXP3_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AK3       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK5       |               |IPAD     |MGTREFCLK1N_114             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AK6       |               |IPAD     |MGTREFCLK1P_114             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AK7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK8       |               |IOB18M   |IO_L15P_T2_DQS_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AK9       |               |IOB18M   |IO_L17P_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AK10      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK11      |               |IOB18S   |IO_L13N_T2_MRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AK12      |               |IOB18S   |IO_L14N_T2_SRCC_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AK13      |               |IOB18M   |IO_L24P_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AK14      |               |IOB18M   |IO_L9P_T1_DQS_AD7P_35       |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AK15      |               |         |VCCO_35                     |         |           |35            |          |         |           |         |any******|          |           |                |
|AK16      |               |IOB18S   |IO_L11N_T1_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AK17      |               |IOB18S   |IO_L10N_T1_AD15N_35         |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AK18      |               |IOB18M   |IO_L8P_T1_AD14P_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AK19      |data_out_2<65> |IOB      |IO_L9P_T1_DQS_36            |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AK20      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK21      |               |IOB18S   |IO_L14N_T2_SRCC_36          |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AK22      |data_out_2<97> |IOB      |IO_L12N_T1_MRCC_36          |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AK23      |data_out_2<67> |IOB      |IO_L10P_T1_36               |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AK24      |data_out_2<63> |IOB      |IO_L8P_T1_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AK25      |               |         |VCCO_36                     |         |           |36            |          |         |           |         |1.80     |          |           |                |
|AK26      |               |IOB18M   |IO_L14P_T2_SRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK27      |               |IOB18S   |IO_L14N_T2_SRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK28      |               |IOB18M   |IO_L13P_T2_MRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK29      |               |IOB18S   |IO_L10N_T1_D15_14           |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK30      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AK31      |               |IOB18S   |IO_L8N_T1_D12_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK32      |               |IOB18M   |IO_L4P_T0_D04_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK33      |               |IOB18S   |IO_L4N_T0_D05_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AK34      |               |IOB18M   |IO_L2P_T0_D02_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AL2       |               |         |MGTAVTT_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AL3       |               |IPAD     |MGTHRXN2_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AL4       |               |IPAD     |MGTHRXP2_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AL5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AL6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AL7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AL8       |               |IOB18S   |IO_L15N_T2_DQS_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AL9       |               |IOB18S   |IO_L17N_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AL10      |               |IOB18M   |IO_L16P_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AL11      |               |IOB18M   |IO_L18P_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AL12      |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AL13      |               |IOB18S   |IO_L24N_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AL14      |               |IOB18S   |IO_L9N_T1_DQS_AD7N_35       |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AL15      |               |IOB18M   |IO_L7P_T1_AD6P_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AL16      |               |IOB18M   |IO_L3P_T0_DQS_AD5P_35       |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AL17      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AL18      |               |IOB18S   |IO_L8N_T1_AD14N_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AL19      |data_out_2<66> |IOB      |IO_L9N_T1_DQS_36            |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AL20      |data_out_2<69> |IOB      |IO_L11P_T1_SRCC_36          |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AL21      |data_out_2<70> |IOB      |IO_L11N_T1_SRCC_36          |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AL22      |               |         |VCCO_36                     |         |           |36            |          |         |           |         |1.80     |          |           |                |
|AL23      |data_out_2<68> |IOB      |IO_L10N_T1_36               |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AL24      |data_out_2<64> |IOB      |IO_L8N_T1_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AL25      |               |IOB18M   |IO_L18P_T2_A12_D28_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL26      |               |IOB18S   |IO_L18N_T2_A11_D27_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL27      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AL28      |               |IOB18S   |IO_L13N_T2_MRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL29      |               |IOB18M   |IO_L12P_T1_MRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL30      |               |IOB18S   |IO_L12N_T1_MRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL31      |               |IOB18M   |IO_L11P_T1_SRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL32      |               |         |VCCO_14                     |         |           |14            |          |         |           |         |any******|          |           |                |
|AL33      |               |IOB18M   |IO_L6P_T0_FCS_B_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AL34      |               |IOB18S   |IO_L2N_T0_D03_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM1       |               |OPAD     |MGTHTXN2_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AM2       |               |OPAD     |MGTHTXP2_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AM3       |               |         |MGTAVTT_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AM4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AM5       |               |IPAD     |MGTHRXN1_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AM6       |               |IPAD     |MGTHRXP1_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AM7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AM8       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AM9       |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AM10      |               |IOB18S   |IO_L16N_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AM11      |               |IOB18S   |IO_L18N_T2_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AM12      |               |IOB18M   |IO_L19P_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AM13      |               |IOB18M   |IO_L23P_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AM14      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AM15      |               |IOB18S   |IO_L7N_T1_AD6N_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AM16      |               |IOB18S   |IO_L3N_T0_DQS_AD5N_35       |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AM17      |               |IOB18M   |IO_L6P_T0_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AM18      |               |IOB18M   |IO_L2P_T0_AD12P_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AM19      |               |         |VCCO_36                     |         |           |36            |          |         |           |         |1.80     |          |           |                |
|AM20      |data_out_2<61> |IOB      |IO_L7P_T1_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AM21      |data_out_2<62> |IOB      |IO_L7N_T1_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AM22      |data_out_2<53> |IOB      |IO_L3P_T0_DQS_36            |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AM23      |data_out_2<59> |IOB      |IO_L6P_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AM24      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AM25      |               |IOB18M   |IO_L21P_T3_DQS_14           |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM26      |               |IOB18M   |IO_L19P_T3_A10_D26_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM27      |               |IOB18S   |IO_L19N_T3_A09_D25_VREF_14  |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM28      |               |IOB18M   |IO_L22P_T3_A05_D21_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM29      |               |         |VCCO_14                     |         |           |14            |          |         |           |         |any******|          |           |                |
|AM30      |               |IOB18M   |IO_L9P_T1_DQS_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM31      |               |IOB18S   |IO_L11N_T1_SRCC_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM32      |               |IOB18M   |IO_L5P_T0_D06_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM33      |               |IOB18S   |IO_L6N_T0_D08_VREF_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AM34      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN2       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN3       |               |OPAD     |MGTHTXN1_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AN4       |               |OPAD     |MGTHTXP1_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AN5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AN7       |               |         |MGTRREF_115                 |         |           |              |          |         |           |         |         |          |           |                |
|AN8       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN9       |               |IOB18M   |IO_L20P_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AN10      |               |IOB18M   |IO_L21P_T3_DQS_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AN11      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN12      |               |IOB18S   |IO_L19N_T3_VREF_34          |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AN13      |               |IOB18S   |IO_L23N_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AN14      |               |IOB18M   |IO_L5P_T0_AD13P_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AN15      |               |IOB18M   |IO_L1P_T0_AD4P_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AN16      |               |         |VCCO_35                     |         |           |35            |          |         |           |         |any******|          |           |                |
|AN17      |               |IOB18S   |IO_L6N_T0_VREF_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AN18      |               |IOB18S   |IO_L2N_T0_AD12N_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AN19      |data_out_2<55> |IOB      |IO_L4P_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AN20      |data_out_2<51> |IOB      |IO_L2P_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AN21      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN22      |data_out_2<54> |IOB      |IO_L3N_T0_DQS_36            |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AN23      |data_out_2<60> |IOB      |IO_L6N_T0_VREF_36           |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AN24      |data_out_2<49> |IOB      |IO_L1P_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AN25      |               |IOB18S   |IO_L21N_T3_DQS_A06_D22_14   |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN26      |               |         |VCCO_14                     |         |           |14            |          |         |           |         |any******|          |           |                |
|AN27      |               |IOB18M   |IO_L24P_T3_A01_D17_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN28      |               |IOB18S   |IO_L22N_T3_A04_D20_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN29      |               |IOB18M   |IO_L20P_T3_A08_D24_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN30      |               |IOB18S   |IO_L9N_T1_DQS_D13_14        |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN31      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AN32      |               |IOB18S   |IO_L5N_T0_D07_14            |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN33      |               |IOB18M   |IO_L1P_T0_D00_MOSI_14       |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AN34      |               |IOB18S   |IO_L1N_T0_D01_DIN_14        |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|AP1       |               |OPAD     |MGTHTXN0_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP2       |               |OPAD     |MGTHTXP0_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP3       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AP4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AP5       |               |IPAD     |MGTHRXN0_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP6       |               |IPAD     |MGTHRXP0_114                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP7       |               |         |MGTAVTTRCAL_115             |         |           |              |          |         |           |         |         |          |           |                |
|AP8       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AP9       |               |IOB18S   |IO_L20N_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AP10      |               |IOB18S   |IO_L21N_T3_DQS_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AP11      |               |IOB18S   |IO_L22N_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AP12      |               |IOB18M   |IO_L22P_T3_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AP13      |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AP14      |               |IOB18S   |IO_L5N_T0_AD13N_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AP15      |               |IOB18S   |IO_L1N_T0_AD4N_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AP16      |               |IOB18S   |IO_L4N_T0_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AP17      |               |IOB18M   |IO_L4P_T0_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AP18      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AP19      |data_out_2<56> |IOB      |IO_L4N_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AP20      |data_out_2<52> |IOB      |IO_L2N_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AP21      |data_out_2<57> |IOB      |IO_L5P_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AP22      |data_out_2<58> |IOB      |IO_L5N_T0_36                |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
